GEOID,B01003_001_Population
421010011011,712
421010011012,878
421010011014,806
421010011021,922
421010012011,948
421010012012,1295
421010012014,1040
421010012021,1398
421010012023,1141
421010012024,1011
421010198002,868
421010198003,1065
421010198005,1034
421010198006,1092
421010213005,994
421010212001,1285
421010213001,504
421010213002,617
421010213003,950
421010217004,1350
421010217002,1818
421010241001,1434
421010248002,1368
421010084003,438
421010090001,439
421010090002,2356
421010090004,1852
421010102002,1180
421010102003,1415
421010109001,1258
421010109003,1055
421010074005,476
421010386001,1350
421010387001,836
421010387002,1971
421010388001,684
421010388002,975
421010388003,762
421010315014,1353
421010315015,1735
421010315021,1993
421010315022,929
421010315023,1539
421010331011,1677
421010331012,1089
421010331013,1015
421010331014,1073
421010331021,759
421010331023,964
421010331024,1244
421010337011,1721
421010337013,4222
421010337021,1109
421010337023,1297
421010337024,849
421010345011,1948
421010345012,1645
421010345022,2577
421010345023,1708
421010356011,2222
421010356012,1804
421010357012,2551
421010356014,1038
421010356021,1338
421010356022,2312
421010357021,1657
421010361003,2292
421010362014,1267
421010365012,2180
421010365013,868
421010365022,1396
421010367001,1747
421010369001,141
421010369002,1606
421010372001,878
421010372002,1699
421010372003,640
421010372004,1210
421010373001,1870
421010373002,2431
421010373003,1537
421010375001,2221
421010375002,1728
421010376001,867
421010376002,2242
421010377001,2711
421010377002,2122
421010377003,577
421010378001,1109
421010378002,505
421010378003,854
421010379001,530
421010379002,1129
421010379003,910
421010379004,945
421010379005,573
421010379006,942
421010380001,1142
421010380002,1215
421010381001,662
421010381002,165
421010382001,856
421010382002,1047
421010383001,1732
421010383002,899
421010383003,606
421010384002,1100
421010385001,526
421010279021,1590
421010289011,1973
421010289012,1565
421010289013,1036
421010289024,1894
421010289021,1154
421010289022,1570
421010289023,1316
421010289025,1134
421010305011,1317
421010305012,2065
421010305013,2392
421010305021,1236
421010305022,1291
421010305023,1336
421010305024,2378
421010305025,818
421010311012,518
421010311013,1275
421010311021,870
421010311022,719
421010311023,1241
421010314011,1912
421010314012,1669
421010314014,961
421010314015,939
421010314022,1692
421010314023,2813
421010315012,1721
421010315013,1025
421010027011,1220
421010027013,2154
421010027021,1473
421010028013,1365
421010027022,937
421010027024,1032
421010028011,1847
421010028021,1413
421010028023,1067
421010028024,1059
421010030011,636
421010388004,1352
421010389001,1069
421010389003,1221
421010390001,989
421010180013,851
421010180022,1389
421010180023,2135
421010195011,1086
421010195012,1679
421010195021,1077
421010195022,2406
421010201011,1784
421010201012,714
421010201021,898
421010201022,502
421010201023,758
421010208002,597
421010218003,1179
421010274012,1446
421010274013,755
421010274022,733
421010274023,545
421010274025,1456
421010279011,883
421010279013,707
421010279014,1417
421010008034,421
421010008041,2265
421010008042,1147
421010009021,1440
421010008043,1220
421010009011,1064
421010009012,966
421010009022,1453
421010010011,1468
421010030012,717
421010030013,1139
421010030015,645
421010030021,1062
421010030022,899
421010030023,366
421010030024,542
421010071011,1068
421010071012,953
421010071013,516
421010071021,878
421010071022,1062
421010071023,702
421010071024,924
421010071025,939
421010081011,1781
421010081012,530
421010081013,1081
421010081022,1021
421010081023,924
421010086022,876
421010081025,723
421010086011,1329
421010086021,957
421010086023,654
421010087012,1204
421010087013,1608
421010087022,1157
421010088011,2028
421010088021,968
421010088022,1289
421010088024,881
421010098011,1053
421010098021,1627
421010098022,2416
421010098023,1969
421010122012,2502
421010122031,409
421010122042,2026
421010134011,1025
421010134021,915
421010134022,662
421010136011,1133
421010136012,1528
421010136022,1377
421010136023,1041
421010136024,775
421010151011,1082
421010151012,1092
421010151021,1418
421010151022,1722
421010151023,725
421010167011,850
421010167012,622
421010167013,1447
421010167021,498
421010167022,802
421010167023,452
421010167024,708
421010172023,646
421010172011,1053
421010172013,822
421010172021,1087
421010172024,611
421010177012,1355
421010177013,999
421010177021,735
421010177023,845
421010177024,1298
421010390002,1569
421010390003,1202
421010390005,956
421010390006,1275
421010390008,733
421019800001,691
421019802001,521
421019803001,0
421019805001,0
421019806001,0
421019807001,0
421019809001,0
421019891001,2107
421010004011,2591
421010004022,2085
421010008011,1429
421010008031,648
421010008033,720
421010288002,1132
421010082003,1144
421010083011,1676
421010083022,1898
421010254001,1016
421010260002,828
421010263021,1065
421010263024,1757
421010264006,435
421010264007,515
421010271002,1127
421010278001,1463
421010020002,747
421010062002,1170
421010072001,746
421010060001,2175
421010244003,787
421010246003,810
421010249002,156
421010265001,884
421010265005,420
421010267002,342
421010267003,1211
421010267001,815
421010268004,1138
421010312003,1525
421010162001,719
421010192002,1514
421010025002,728
421010025001,1419
421010033006,1289
421010243003,833
421010165003,1989
421010236002,1100
421010094002,1063
421010095003,408
421010095001,742
421010276002,253
421010276001,1300
421010039021,2070
421010178007,1103
421010163001,741
421010163004,1223
421010178001,913
421010032006,985
421010032005,255
421010040011,1456
421010092002,1610
421010100003,789
421010158001,1257
421010164002,511
421010169021,1539
421010118002,802
421010118001,1327
421010119002,1960
421010042024,1212
421010119001,1039
421010139001,454
421010041011,948
421010042021,1409
421010055001,1822
421010069003,955
421010070001,1106
421010080002,1176
421010080001,959
421010329004,817
421010329002,525
421010348023,1506
421010348031,1228
421010240001,1324
421010309001,1621
421010320006,1633
421010320004,903
421010063001,276
421010207001,1374
421010184001,824
421010319004,569
421010319002,1179
421010330001,523
421010330006,1028
421010340003,735
421010348011,1240
421010281003,1254
421010283005,1352
421010283002,779
421010015002,2238
421010160006,833
421010160005,880
421010168001,725
421010168005,396
421010242002,737
421010242004,872
421010245004,781
421010237002,2067
421010363012,1883
421010352002,771
421010358001,3751
421010083023,977
421010362013,1173
421010362023,1510
421010106001,708
421010286003,714
421010286006,681
421010001002,2342
421010013003,725
421010307002,1292
421010190001,1279
421010190005,1691
421010215001,915
421010216001,951
421010002001,2576
421010302002,1968
421010306004,1540
421010306005,525
421010316001,958
421010316002,688
421010316006,1109
421010317005,973
421010140002,566
421010144001,982
421010318002,1494
421010318003,694
421010323002,1290
421010334002,1213
421010112003,1168
421010112005,557
421010041021,3490
421010041024,943
421010158006,807
421010353021,1879
421010355002,2579
421010362033,2419
421010205002,1103
421010219001,1455
421010202004,555
421010202002,288
421010363034,1221
421010366001,2345
421010299002,528
421010277005,300
421010262003,1433
421010273003,1249
421010284002,1308
421010284001,1574
421010039013,2050
421010115001,1120
421010120002,1411
421010166002,397
421010113003,1145
421010114004,426
421010257001,2050
421010211002,1255
421010038001,1269
421010125001,1678
421010210004,1524
421010210005,1275
421010024001,616
421010003002,2627
421010024005,875
421010037014,1165
421010037013,2371
421010093005,1090
421010093001,666
421010321003,1446
421010214004,702
421010349003,1253
421010349001,955
421010105003,2066
421010036001,1972
421010170002,629
421010363022,1963
421010018001,993
421010341006,442
421010351001,2073
421010353013,569
421010199001,796
421010199004,1698
421010204002,897
421010363021,1661
421010287002,1112
421010300001,879
421010291003,1392
421010326004,1635
421010300006,669
421010188002,1433
421010188006,1061
421010191001,981
421010191003,1620
421010176013,1646
421010176015,826
421010029002,1020
421010037022,1520
421010073002,987
421010079001,871
421010079004,932
421010085006,989
421010084004,684
421010084002,1244
421010139003,890
421010085001,540
421010096002,727
421010197001,1282
421010197002,945
421010200001,562
421010108003,1111
421010145001,920
421010341001,768
421010272001,971
421010275003,639
421010280004,1152
421010280002,1016
421010294002,1247
421010266003,541
421010266005,743
421010104002,614
421010263011,1343
421010270001,804
421010247003,1123
421010104004,1491
421010269001,1022
421010292002,1110
421010064001,996
421010065006,1158
421010065002,548
421010066004,925
421010066003,858
421010091001,859
421010161001,2298
421010161004,1009
421010143002,750
421010253003,786
421010238005,1305
421010238003,1071
421010259002,561
421010259003,890
421010290001,451
421010135003,955
421010338002,592
421010344003,2343
421010344002,1707
421010347013,1575
421010198004,1582
421010198001,920
421010212002,1227
421010213004,863
421010217003,886
421010217001,2030
421010248001,927
421010090003,1565
421010102001,610
421010109002,465
421010074004,1826
421010180012,1098
421010331022,834
421010337012,1044
421010337022,1747
421010342002,2183
421010345021,1051
421010348013,1762
421010356013,779
421010357011,2393
421010357022,2508
421010365011,2214
421010365021,2849
421010367002,1594
421010369003,4094
421010010022,789
421010011013,1040
421010011022,1549
421010012013,797
421010012022,870
421010012025,732
421010030014,1040
421010081021,711
421010081024,2220
421010086012,1828
421010087011,1249
421010087021,1393
421010088012,396
421010088023,2930
421010098012,1142
421010122011,528
421010122041,2041
421010134012,1373
421010134023,1473
421010136021,701
421010172012,715
421010172022,1252
421010177011,1084
421010177022,1223
421010177025,879
421010390004,643
421010390007,1667
421019801001,24
421019804001,0
421019808001,0
421010004021,1795
421010008032,1307
421010385002,1276
421010382003,1086
421010384001,1393
421010279022,2505
421010311011,1627
421010311014,2037
421010311024,1639
421010314013,1640
421010314021,1457
421010315011,940
421010027012,1048
421010027023,1148
421010028012,1529
421010028022,1171
421010028025,997
421010389002,982
421010180024,924
421010180021,1569
421010195013,1673
421010195023,457
421010201013,1331
421010201024,773
421010274011,1093
421010274021,1877
421010274024,2502
421010279012,1148
421010078004,724
421010286005,1316
421010302004,1802
421010273001,912
421010308004,1507
421010272002,2533
421010169012,576
421010175004,453
421010180011,678
420912058071,1686
420912043002,1158
420912052001,1128
420912052003,840
420912061021,1703
420912061023,2332
420912069042,1979
420912021004,700
420912021001,1098
420912021003,1530
420912026041,1331
420912035001,2927
420912034022,3013
420912034021,1533
420912001051,1219
420912001052,743
420912003071,1193
420912003072,1533
420912016072,1473
420912016073,419
420912016074,1023
420912017031,1822
420912017032,1456
420912017042,1346
420912017061,1605
420912017062,1105
420912024021,631
420912024022,608
420912024023,1330
420912025002,2135
420912025001,926
420912031042,940
420912032033,1225
420912035002,1917
420912035003,1362
420912038043,998
420912038042,564
420912046004,885
420912046005,766
420912046003,583
420912046001,997
420912046002,1371
420912053002,1295
420912053001,746
420912058093,1152
420912060041,1079
420912061062,2544
420912066001,1483
420912032081,912
420912033023,2645
420912033022,2023
420912040021,1219
420912040071,779
420912040072,1405
420912080003,1257
420912080002,1254
420912004021,1043
420912004023,1127
420912058062,1452
420912038014,794
420912058061,718
420912038013,758
420912038012,1058
420912038011,1255
420912040082,1117
420912040081,1628
420912047022,1501
420912047021,928
420912047023,989
420912060071,3478
420912013021,814
420912013023,854
420912013022,1317
420912014071,790
420912014073,1209
420912015012,921
420912015013,1552
420912016082,1196
420912016083,1220
420912016081,1037
420912022011,993
420912022014,1156
420912022012,1111
420912032071,1273
420912019021,1256
420912075001,1144
420912005023,1672
420912005021,2001
420912087021,772
420912005022,866
420912008002,2036
420912087022,1466
420912090002,811
420912101003,1176
